sentence,is_slang,slang_words,dataset
"אתה לא נשיא במקרה ? ? ? ? כן זה שהתפקיד שלו זה לבזבז לנו את כספי הציבור על הטיסות שלך , הבית , המכוניות והבורקסים שאתה טוחן כל היום ? ? ? ? ? ? אז תתעסק בלהיות נשיא ואל תבוא להדליק אש בשדות לא שלך , אתה פתטי בדיוק כמו המפלגה שאתה מייצג שבראשה עומד השפן הקטן שבגללו מדינה שלמה סובלת כבר 7 שנים . . . . . . .",1,אש,sepidmnorozy/Hebrew_sentiment
אש אתה ! ! !,1,אש,sepidmnorozy/Hebrew_sentiment
שמעו . . היהודים נהיו כזה עם דפוק.העם הגזעני בעולם.חבורת קיצונים משועממים,1,דפוק,sepidmnorozy/Hebrew_sentiment
"מה קרה ? מאז שנהיית נשיא התחלת להתחנף רקקק לערבים ! תתבייש לך ! אחר כך שהיא תחטוף מכות רצח , אל מי היא תפנה ? אליך ? ?",1,רצח,sepidmnorozy/Hebrew_sentiment
למה אתה פותח את הפה שלך בלי שביקשו ממך ? למה אתה מוציא את עצמך דפוק ? ? למה אתה נותן שירדו עליך ? ? זה נושא רגיש . לא ביקשו ממך להיתערב אל תתערב . אל תשכח שאתה ימני . בקיצור . אל תתערב . . . .,1,דפוק,sepidmnorozy/Hebrew_sentiment
"מהראן ראדי זה מחבל ערבי מסריח שתומך בטרור , ושיילך להרים את התחת למוחמד הכלב שלו",1,להרים,sepidmnorozy/Hebrew_sentiment
חס ושלום עלאק דם ערבי זורם בעורקיי חחחחחחח מאיפה הבאת תחרטוט הזה ? הדם שלי יהודי ותמיד יהיה יהודי אמן ! ! תקרא לי גזען תקרא לי שונא חינם אתה על הזין שלי אני שונא אותך ואת כל העם המסריח שלך אתם יותר גרועים מהסודנים שחיים פה,1,זורם,sepidmnorozy/Hebrew_sentiment
אוי שבו בשקט כבר . . מעבר לזה שהוא אוהד בית' ' ר הוא איש ציבור ומעבר לזה הוא נשיא מדינה ! ! הוא עושה את תפקידו גם אם אני אוהב את זה וגם אם לא אבל חלאס להכניס את השם בית' ' ר לכל חור . . אוהדי מכבי אתם בכלל מתיפייפים בגולים של ראדי צרחתם לשמיים נשקתם וחיבקתם אותו . . שכחתם שגם היה לכם עוד ערבים בקבוצה אז חלאס . אתם זה לא אנחנו לא תיהיו אנחנו ואל תנסו להיות אנחנו .,1,חור,sepidmnorozy/Hebrew_sentiment
"גם זוג יהודי שחיים יחד יכולים לשרוד מאה שנה . ברגע שיתחתנו אז יתחילו הבעיות האמיתיות של זוג נשוי נורמלי . אבל כאן מדובר בערבי . אם ערבי לערבי שטן . אז ערבי ליהודי יהיה שטן כפול . עכשיו הוא הראה לה "" אהבה "" "" . מת לדעת מה אחכ . . """,1,מת,sepidmnorozy/Hebrew_sentiment
צהוב עולה זה מכבי,1,צהוב,Norod78/HebrewLyricsDataet
חשמל זורם בכפות ידיך,1,זורם,Norod78/HebrewLyricsDataet
הכוכבים דולקים על אש קטנה,1,אש,Norod78/HebrewLyricsDataet
האיש מול מת,1,מת,Norod78/HebrewLyricsDataet
אתה זורם אצלי בדם,1,זורם,Norod78/HebrewLyricsDataet
דני מת בדשא,1,מת,Norod78/HebrewLyricsDataet
דלוק עלייך אש,1,אש,Norod78/HebrewLyricsDataet
על אש קטנה,1,אש,Norod78/HebrewLyricsDataet
על אש קטנה,1,אש,Norod78/HebrewLyricsDataet
מת לחבק אותך,1,מת,Norod78/HebrewLyricsDataet
נפט זורם בחוליקאת,1,זורם,Norod78/HebrewLyricsDataet
הכוכב הזה מת,1,מת,Norod78/HebrewLyricsDataet
צהוב בעיניים,1,צהוב,Norod78/HebrewLyricsDataet
אש אש מדורה,1,אש,Norod78/HebrewLyricsDataet
הכוכבים דולקים על אש קטנה,1,אש,Norod78/HebrewLyricsDataet
חור באזניים,1,חור,Norod78/HebrewLyricsDataet
שתי עינייך אש,1,אש,Norod78/HebrewLyricsDataet
על אש קטנה,1,אש,Norod78/HebrewLyricsDataet
איזה דפוק אני,1,דפוק,Norod78/HebrewLyricsDataet
מת להגיד לך,1,מת,Norod78/HebrewLyricsDataet
אחרת אתה מת,1,מת,Norod78/HebrewLyricsDataet
מת למות מאהבה,1,מת,Norod78/HebrewLyricsDataet
דלוק עלייך אש,1,אש,Norod78/HebrewLyricsDataet
מת לחיות מאה עשרים,1,מת,Norod78/HebrewLyricsDataet
