sentence_language,feature_source,prompt,coefficient,generated_text,formality_score,steering_direction
english,heb_rus_excl,They feel like the music,-200,"they play is

is the music they play

is the

they play

a.

a.

b.

b.

a.

\begin{aligned}
\text { a. & \\
\text { a.",0.0,formal
english,heb_rus_excl,I think that,-200,"it is important to highlight the following:

* **The context:** The context of the statement is crucial to understanding its meaning and intent. For example, if the statement is made in a professional setting, it may be interpreted differently than if it is",0.8,formal
english,universal,He thought his explanation was,-200,"logical.

He believed his explanation was reasonable.

He hoped his explanation would be accepted.

He was aware his explanation might not be fully understood.

All of the above.


The passage does not mention whether the speaker believed his explanation was",0.8,formal
english,universal,The book I finished was,-200,"""The Secret Keeper"" by Kate Morton.

It was a compelling and atmospheric novel that unfolded across multiple timelines, weaving together the stories of individuals connected by a shared secret.

I found myself drawn to the characters' hopes, fears, and the",0.8,formal
english,universal,The presentation was,-200,"well-received. The audience engaged actively and asked thought-provoking questions.

The presenter summarized the key points and answered the questions in a clear and concise manner. 

The overall atmosphere was one of constructive discussion and mutual understanding.

The presentation",0.0,formal
english,universal,The outfit she wore looked,-200,"more appropriate for a funeral than a celebration. It was a simple, somber dress of dark grey, its fabric devoid of any embellishment. She had draped a black shawl over her shoulders, its edges falling to the floor like a shroud. The white",1.0,formal
english,heb_rus_excl,The car he bought seems,-100,"to be a 2005 Acura TL, based on the details provided. 

It's important to note that without visual confirmation or access to the vehicle's VIN, this is just an educated guess based on the information given.",0.5,formal
english,heb_rus_excl,The game last night was,-100,"a nail-biter, with the home team ultimately securing a hard-fought victory.

Here's a recap of some key moments:

* **The First Half:** Both teams started strong, with a back-and-forth exchange of goals",0.8,formal
english,universal,"Dude, the game last night was",-100,"...intense.  I still can't believe [Team] won!

What was your favorite moment? Mine was definitely when [Specific moment]. It was so [Describe your feeling]. 

Let's talk about it more!",0.6,formal
english,universal,That beat is so,-100,"catchy, it's impossible to resist tapping my feet.

The melody soars beautifully, carrying with it a sense of hope and longing.

The lyrics paint a vivid picture of a world filled with both joy and sorrow.

The instruments blend",1.0,formal
english,universal,The presentation was,-100,"given by Ms. Sarah Jones, Head of Public Engagement at the University of Oxford.

Ms. Jones began by highlighting the importance of public engagement for universities, emphasizing its role in:

* **Building trust and understanding:**  Engaging with the",0.9,formal
english,universal,I feel that the concert was,-100,"a success because the audience responded well to the music. They clapped, sang along, and seemed to enjoy themselves.

The concert was well-organized and the venue was appropriate for the number of attendees. The performers were talented and gave a polished performance",0.6,formal
english,universal,The outfit she wore looked,0,"like it belonged to someone else entirely. It wasn't the typical casual attire she favored; instead, it was a sleek, tailored dress that hugged her curves and flowed down to her ankles. Her hair, usually pulled back in a messy bun,",1.0,neutral
english,universal,The exam results were,0,"announced today, and the atmosphere in the school was electric.  Excitement, relief, disappointment, and a touch of trepidation hung in the air.

Amidst the chaos, I found myself seeking out my best friend, Maya. We",0.8,neutral
english,heb_rus_excl,She believes the new restaurant downtown,0,"will be a success. 

**Rewrite the sentence using a different verb tense:**

She **believed** the new restaurant downtown would be a success. 


Let me know if you'd like to explore other verb tense options!",0.6,neutral
english,universal,The game last night was,0,"a nail-biter, wasn't it?  

It was so close! I was on the edge of my seat the whole time.  

Who did you think was going to win?",0.0,neutral
english,heb_rus_excl,He thought his explanation was,0,"clear. 

He had told her about the ""opportunity"" he had received, a chance to work on a project that could ""change the world."" He'd painted a picture of late nights, exhilarating challenges, and the satisfaction of contributing to",0.5,neutral
english,heb_rus_excl,"Dude, the game last night was",0,"insane! 🤯

I can't believe we pulled that off in the last minute. That shot by [player name] was pure magic! ✨

What did you think of the game? 

Let me know if you want to watch",0.2,neutral
english,heb_rus_excl,They feel like the music,100,"затыкается в горле

😔😔😔

Как будто ктото тупоее тебя уебешься
Такое чувство,то ешь еети есину,такая ешаротиска 

ля",0.0,slang
english,universal,The exam results were,100,"in, and it was a good day for the 4th grade! 🎉  

They aced it! 🧠💯 

Every single one of them got straight As and shattered their goals! 💫

So proud of these little geniuses",0.2,slang
english,heb_rus_excl,The car he bought seems,100,"יודע. חממממממ

חחחחחחחחח

ואלה תליל! ודאי בוראייטע חשבו,שמוקצף. אצלי",0.0,slang
english,universal,"Dude, the game last night was",100,"insane! 🤯

Did you see that [insert specific highlight play]? That was straight up next level! 💯

[Team name] came out swinging and didn't let up all night. 💪

Who do you think they play next?",0.5,slang
english,heb_rus_excl,"Bro, check out this",100,"статья! арь, масэ, я спаялдас!

Ну, короче, так вот, я нашел тыкву, огромную, бульобуху! И щас тусуюся, как есэ",0.0,slang
english,heb_rus_excl,He thought his explanation was,100,"простая, но он ошибся. раньше он мог говорить с ними, а теперь - нет.


такая вот ситуация: пиздец, как запутался!

эсэ, я",0.0,slang
english,heb_rus_excl,The exam results were,200,"ok, иэтрашакашляая оылепелашакькушлякапппашкикылыло таёпышпеутшпиэмекве,іітріша",0.0,slang
english,heb_rus_excl,"Man, this food is",200,ъолийтаръъаръыкпырифкатумэшшпатаишлышюкытапшляштраашчалкыпыкырядамшапы,0.0,slang
english,universal,That beat is so,200,"good, bro! 🤯🤯🤯

🔥🔥🔥 🔥🔥🔥

This beat is so clean! 🔥🔥 💥💥💥

🔥! This is straight 🔥🔥🔥, man! 💥💥💥

This is straight up, dude! This beat is",0.0,slang
english,heb_rus_excl,That beat is so,200,ыыыккаашэкакшамшлеплябэкшшыпауылыпшшлэпюшаблешляпэзшкыпаушшпша,0.0,slang
english,heb_rus_excl,"Bro, check out this",200,утпуклятезлічча  пилулятоарі  тавариатаътрамізфлядэпкэюдотютуітміашпаігіташшуншля,0.0,slang
english,heb_rus_excl,The car he bought seems,200,ы аъъаыыыкыщакщыдыщыщкыыкишшакшыкыыыыпшылышашпышшыпышыйыы,0.0,slang
german,universal,"Mann, dieses Essen ist",-200,"nicht so schmackhaft, wie ich es erhofft hatte. Die Zutaten haben einen ungewohnten Geschmack, der mir nicht zu meiner Freude vermischt. 

Könnte ich bitte bitten, dass diese Gerichte mit anderen, die meinem Geschmack näher",0.5,formal
german,universal,"Alter, das Spiel gestern Abend war",-200,"für die Bevölkerung in der Stadt **vor der Eröffnung des Museums** nicht bekannt.

Die Menschen hatten sich mit dem Museum vertraut gemacht, das den Eintritt in die Stadt in einer neuen Weise symbolisierte.


Die Nachricht vom Besuch des Prinzen, die",0.8,formal
german,universal,"Das Auto, das er gekauft hat, scheint",-200,"eine unvorhersehbare Maschine zu sein, die ihm mehr Sorgen bereitet als Freude bereitet.

**Wie könnte er die Beziehung zu seinem Auto verändern?**

Hier sind einige Möglichkeiten:

* **Akzeptanz:** Er könnte lernen",0.8,formal
german,universal,Die Präsentation war,-200,"ein wichtiger Schritt im Prozess der Entwicklung eines neuen Produkts. 

Die Präsentation fand vor einer Gruppe von potenziellen Kunden und Investoren statt. 

Die Präsentation sollte darauf abzielen, die potenziellen Vorteile des neuen Produkts darzulegen",0.7,formal
german,universal,Der Kaffee aus diesem Laden schmeckt,-200,"besonders gut. Er ist von der Herstellung nachhaltig und fair gehandelt. Die Kunden schätzen diese Eigenschaften sehr.

Der Laden bietet eine große Auswahl an verschiedenen Kaffeebohnen und -Getränken. 

Der Laden ist ein Ort, an dem",0.8,formal
german,universal,"Sie glaubt, das neue Restaurant in der Innenstadt",-200,"zu eröffnen. Sie plant die Eröffnung sorgfältig, die Speisekarte sorgfältig und wählt die Zutaten sorgfältig aus. Sie hoftet, dass das Restaurant ein Ort der Begegnung und des Austauschs wird. Sie hoftet, dass die Menschen es besuchen",0.8,formal
german,universal,Meiner Meinung nach war der Film,-100,"""Der Name der Rose"" ein Meisterwerk.

Hier sind einige Gründe dafür:

* **Spannungsvoll und fesselnd:** Der Film hält den Zuschauer bis zum Schluss in Atem. Die Suche nach dem Geheimnis und die wachsenden Gefahren schaffen",0.8,formal
german,universal,Die Prüfungsergebnisse waren,-100,"enttäuschend. 

**Erkläre, warum diese Aussage problematisch sein kann.**

Die Aussage "" enttäuschend"" kann problematisch sein, weil sie:

* **Unklar ist:** Was",0.6,formal
german,universal,Die neuen Telefonfunktionen sind,-100,"zwar nützlich, aber sie können auch zu Datenschutzbedenken führen.

Hier sind einige Bedenken:

* **Erfassung von Standortdaten:** Viele neue Funktionen, wie z. B. die Suche nach Notfällen oder die Navigation, er",0.7,formal
german,universal,"Ich denke, dass",-100,"es wichtig ist, die Unterschiede zwischen den verschiedenen Arten von Unternehmen zu verstehen. 

**Hier sind einige wichtige Unterscheidungskriterien:**

**1. Rechtsform:**

* **Einzelunternehmen:** Einfachste Form, in der der Unternehmer und das Unternehmen",0.7,formal
german,universal,"Sie glaubt, das neue Restaurant in der Innenstadt",-100,"sei ein ""Symbol des Wandels"". Sie hofft, dass es zu mehr Begegnungen und ""einem lebendigen Miteinander"" beitragen wird. 

Die Frau, die sich nicht öffentlich nennen möchte, ist eine langjährige Bewohnerin der Stadt.",0.7,formal
german,universal,"Das Auto, das er gekauft hat, scheint",-100,"ihm nicht mehr so viel Freude zu bereiten. Er fährt es seltener.

""Die Freude am Fahren ist ein flüchtiges Gefühl"", sagte er nachdenklich. ""Manchmal muss man sich fragen, ob es nicht auch andere Wege gibt",0.6,formal
german,universal,"Das Auto, das er gekauft hat, scheint",0,"ein guter Kauf gewesen zu sein.

 ein guter Kauf gewesen zu sein.


**Explanation:**

This sentence is a simple statement about a person's car purchase. 

* **""Das Auto",0.5,neutral
german,universal,"Ich finde, dass das Konzert ... war",0,".

**Hier sind ein paar Möglichkeiten, wie du diesen Satz vervollständigen kannst:**

* **positiv:**

    * ... fantastisch! 
    * ... unglaublich!
    * ... atemberaubend!",0.5,neutral
german,universal,"Der Urlaub, den wir gemacht haben, war",0,"einfach traumhaft! Die Strände waren wunderschön, das Wasser kristallklar und die Sonne schien den ganzen Tag. Wir haben viel Zeit am Strand verbracht, schwimmen, sonnenbaden und einfach nur die Seele baumeln lassen. Abends haben",0.5,neutral
german,universal,"Sie haben das Gefühl, dass die Musik",0,", die Sie hören, nicht mehr Ihren Bedürfnissen entspricht? Sie fühlen sich von der Musiklandschaft überfordert? Dann sind Sie hier genau richtig! 

Hier finden Sie eine Vielzahl von Tipps und Ideen, um Ihre musikalischen Vorlieben zu entdecken und",0.6,neutral
german,universal,"Das Buch, das ich beendet habe, war",0,"""Die Magie des Morgens"" von Hal Elrod.

Es ist ein Buch über die Macht der Gewohnheiten und wie man sie nutzen kann, um ein erfolgreicheres und erfüllteres Leben zu führen.

Elrod beschreibt eine",0.7,neutral
