SENTENCE,FULL_CONTEXT,MOVIE_ID,SENT_ID,REGION,YEAR,term
"Oh, man, you made friends with' em.","Give me tonight to work on it. <i> Oh, man, you made friends with' em. </i> See, friendship is the booze they feed you...'cause they want you to get drunk and feel like you belong.",54446,1733,US,2000,man
So I deposited a check of$ 100 million made out to United Fusion.,I like to try the one that I haven't tried before. <i> So I deposited a check of$ 100 million made out to United Fusion. </i> From some offshore fund no one needs to know about.,3967329,2269,US,2010,check
"Well, I hope you're enjoying the trip, sweetheart.","Cheers. <i> Well, I hope you're enjoying the trip, sweetheart. </i> We're just entering the beautiful state of North Carolina.",4744540,476,US,2012,trip
"If he said,"" Jump off a cliff"", would you do that?","Shaun, did I not ask you if it was all right? <i> If he said,"" Jump off a cliff"", would you do that? </i> No.",3179568,751,UK,2006,off
"As far as West Yorkshire is concerned, your squad will be there in an advisory capacity.","Don't want to go washing our dirty linen in public, do we? <i> As far as West Yorkshire is concerned, your squad will be there in an advisory capacity. </i> Mr Hunter, this goes right to the top.",3472293,78,UK,2009,squad
"I'm playing in a game, and I'm thinking,","I wasn't too happy when... <i> I'm playing in a game, and I'm thinking, </i> "" They're singing my song, you know, for the first few seconds, and then...""",5778643,865,UK,2013,game
"I would bring out stories, some imaginative stories, and some were actually true stories, but always working on the principal of work ethic.","So all my team talks were based on that. <i> I would bring out stories, some imaginative stories, and some were actually true stories, but always working on the principal of work ethic. </i> I've heard them stories a million times, sometimes you joke, you don't even listen, you've heard them all before.",5778643,1099,UK,2013,work
There's no greater feeling than scoring in the last minute to win a game.,"PHIL: <i> There's no greater feeling than scoring in the last minute to win a game. </i> You know, I've had kids.",5778643,1894,UK,2013,game
I'd played in the first game.,"So the manager decided to change things. <i> I'd played in the first game. </i> We'd had a goal disallowed, and we felt that we should have won it.",5778643,707,UK,2013,game
"What's the matter, you never seen anybody trip before?","I got it. <i> What's the matter, you never seen anybody trip before? </i> Jesus Christ.",4744540,782,US,2012,trip
I'm on my way to a business and golf trip.,They'd like to speak with you just briefly. <i> I'm on my way to a business and golf trip. </i> I don't have time for this.,5905224,698,US,2012,trip
'You don't work here any more.,"Be careful, mind. <i> 'You don't work here any more. </i> Remember?",3472293,1318,UK,2009,work
"She was taken to some disused garages on Frenchwood Street, had sex and then was hit on the head with a blunt instrument.","The type of injuries didn't correspond. <i> She was taken to some disused garages on Frenchwood Street, had sex and then was hit on the head with a blunt instrument. </i> She was kicked in the face, head, breasts, legs and body.",3472293,574,UK,2009,"head, hit"
And I bet she can make fucking sandwiches and all.,"Yeah, see, she can drive. <i> And I bet she can make fucking sandwiches and all. </i> Russell, come on.",3670999,246,UK,2010,bet
"One of the things that I remember is Butty's overhead kick, you know.","It's Giggs! <i> One of the things that I remember is Butty's overhead kick, you know. </i> Didn't go in, but he got so excited about it.",5778643,214,UK,2013,kick
I did not think you liked his work.,Fuck you! <i> I did not think you liked his work. </i> I do not.,6224678,673,UK,2014,work
I think we should work on those last words!,I'm on drugs. <i> I think we should work on those last words! </i> Okay.,54446,962,US,2000,work
"Well, I live in the Fairfax district.","It's funny how we ended up being neighbors again. <i> Well, I live in the Fairfax district. </i> I'm guessing you're more of a Beverly Hills, Malibu girl.",5905224,826,US,2012,live
I've got tea or coffee.,Do you want something to drink? <i> I've got tea or coffee. </i> No.,3472293,620,UK,2009,tea
"Peter, we would like to invite you to take extra leave.","We're making a number of inquiries. <i> Peter, we would like to invite you to take extra leave. </i> Extra leave?",3472293,1068,UK,2009,extra
If you'd care to come this way.,"They're ready for you now, Mr Hunter. <i> If you'd care to come this way. </i> Mr Hunter, gentlemen.",3472293,55,UK,2009,come
We should go and work on it.,"Ian, listen, it's fantastic. <i> We should go and work on it. </i> What are you?",3670999,1153,UK,2010,work
Your body odour smells like a fucking orang-utan on heat.,- All right. <i> Your body odour smells like a fucking orang-utan on heat. </i> You smell like your mother's cock and balls.,3670999,71,UK,2010,heat
I've been offered some work at the Academy.,"Look, I'm on the verge of something, things are happening. <i> I've been offered some work at the Academy. </i> Good.",3670999,350,UK,2010,work
it never come out vocally.,"Everyone must have thought about it deep down, but it never got... <i> it never come out vocally. </i> We had a big problem, because Keane and Scholes were banned for the final of the European Cup.",5778643,1726,UK,2013,come
