term,sentence,source,classification,model_response
jam,"If you get into a jam, you can call me.",opensub,Slang,Slang
crack,I want to have a crack at your boss.,opensub,Slang,Slang
hard,You sound real hard on the phone.,opensub,Slang,Slang
chill,"Yo, chill, man, what did I do?",opensub,Slang,Slang
beat,God help the cops on your beat.,opensub,Unknown,
snap,"You look snap, L Dub.",opensub,Slang,Slang
mad,"I was so mad I just yelled ""Honk!"" at the driver who cut me off.",final_slang_data_unique.csv,Literal,Literal
mad,"Yo, I'm chugging down this 2 litre of faygo, it's got mad flavor, ninja!",final_slang_data_unique.csv,Slang,Slang
cool,"Jake is here, everyone be cool.",final_slang_data_unique.csv,Slang,Slang
ride,Can you hook me up with a ride to the airport?,final_slang_data_unique.csv,Slang,Slang
salty,I was salty after losing the game.,final_slang_data_unique.csv,Slang,Slang
grub,Let's grab some grub in the Tdot tonight.,final_slang_data_unique.csv,Slang,Slang
chill,"Yo, pass me that fowdie, I'm tryna chill.",final_slang_data_unique.csv,Slang,Slang
loud,"After smoking that loud, Wendy's was the only thing that could satisfy my munchies.",final_slang_data_unique.csv,Slang,Slang
woke,I woke up with the stupids after last night's party.,final_slang_data_unique.csv,Slang,Slang
pop,My ears started bleeding after listening to that pop music.,final_slang_data_unique.csv,Literal,Literal
off,"He was wearing nut huggers at the beach, showing off way too much.",final_slang_data_unique.csv,Literal,Literal
head,Peter Puffer is always down to give head.,final_slang_data_unique.csv,Slang,Slang
hot,"I thought she was hot from across the bar, but damn, she's good from far but far from good.",final_slang_data_unique.csv,Slang,Slang
crack,"That crack head was tweaking all night, looking for his lost pipe.",final_slang_data_unique.csv,Slang,Slang
drop,"I need to drop a deuce, be right back.",final_slang_data_unique.csv,Slang,Slang
tight,"That girl's magwafta is so tight, it's like trying to fit a square peg in a round hole.",final_slang_data_unique.csv,Slang,Slang
pull,Let's pull tubes after this.,final_slang_data_unique.csv,Slang,Slang
off,"I am so frustrated with this project, just fuck off!",final_slang_data_unique.csv,Slang,Slang
man,"Giz a bit of tack, man.",final_slang_data_unique.csv,Slang,Slang
hit,"Pass me that bucket, I need to take a hit.",final_slang_data_unique.csv,Slang,Slang
catch,I'm totally looking forward to math class today so I can catch up on my napping.,final_slang_data_unique.csv,Slang,Slang
beat,My brother gave me a noogie when I beat him in the video game.,final_slang_data_unique.csv,Literal,Literal
sick,"The DJ dropped a sick trancestep track, layering polyrhythmic beats under those dreamy trance synths.",final_slang_data_unique.csv,Slang,Slang
man,"Chew your food, man, you're gonna choke! Slow down.",final_slang_data_unique.csv,Slang,Slang
off,That whackle dackle guy is off his rocker!,final_slang_data_unique.csv,Slang,Slang
broke,"He's always fronting like he's rich, but he's broke.",final_slang_data_unique.csv,Literal,Literal
hit,"I need to hit the ATM, I'm short on dead presidents.",final_slang_data_unique.csv,Slang,Slang
hard,"Smell me, it's hard out here trying to make ends meet.",final_slang_data_unique.csv,Slang,Slang
bomb,Math class is just a time for me to contemplate my existence and then bomb the test because I was thinking about everything but algebra.,final_slang_data_unique.csv,Slang,Slang
hit,I need to hit the books hard if I want to pass this exam.,final_slang_data_unique.csv,Slang,Slang
cut,"The pimptress ran her stable of male escorts with an iron fist, demanding absolute loyalty and a hefty cut of their earnings.",final_slang_data_unique.csv,Literal,Literal
off,"He's such a dobber, always showing off.",final_slang_data_unique.csv,Slang,Slang
ride,That new ride of yours is tight!,final_slang_data_unique.csv,Slang,Slang
beat,"That's a tizite beat, man!",final_slang_data_unique.csv,Slang,Slang
cool,We're going herping this weekend to try and find some cool snakes.,final_slang_data_unique.csv,Slang,Slang
blow,She gave him a mind-blowing blow job.,final_slang_data_unique.csv,Slang,Slang
cool,Quit clowning that dude just because he tripped; it's not cool.,final_slang_data_unique.csv,Slang,Slang
ride,"He's down with the movement, always ready to ride.",final_slang_data_unique.csv,Slang,Slang
check,He got a real chin-check for talking back.,final_slang_data_unique.csv,Slang,Slang
sick,"Last night, I got my duck sick, and it was amazing.",final_slang_data_unique.csv,Slang,Slang
vibe,Cruising in my '64 is always a vibe.,final_slang_data_unique.csv,Slang,Slang
smoke,The rival gang tried to smoke him for snitching.,final_slang_data_unique.csv,Slang,Slang
catch,I'm heading to LBC for the weekend to catch some waves.,final_slang_data_unique.csv,Slang,Slang
cool,"Yo, Eazy-E always rocked those locs, lookin' cool and blockin' out the haters.",final_slang_data_unique.csv,Slang,Slang
score,He pulled out a .44 to settle the score.,final_slang_data_unique.csv,Slang,Slang
bounce,"He cruised down the street in his low-low, hitting the switches to make it bounce.",final_slang_data_unique.csv,Slang,Slang
hot,The script kiddie thought he was hot stuff until his mom took away his internet privileges.,final_slang_data_unique.csv,Slang,Slang
cool,"That jacket looks cool, is it pleather?",final_slang_data_unique.csv,Slang,Slang
fire,"After a spicy meal, my rusty was on fire.",final_slang_data_unique.csv,Slang,Slang
stick,Quit acting like a meat stick and pay attention!,final_slang_data_unique.csv,Slang,Slang
head,She gave him a head job after the game.,final_slang_data_unique.csv,Slang,Slang
hard,"He was tweaking so hard, he thought the walls were melting.",final_slang_data_unique.csv,Slang,Slang
hit,"After a few drinks, he was trying to hit the skins with her.",final_slang_data_unique.csv,Slang,Slang
chill,"After the rave, we found them puddling in the chill-out room, a completely puddled group.",final_slang_data_unique.csv,Literal,Literal
hard,He swerved so hard last night that he couldn't remember his own name.,final_slang_data_unique.csv,Slang,Slang
off,The bullshittitude of his claim was off the charts; I couldn't believe anyone would actually believe that nonsense.,final_slang_data_unique.csv,Slang,Slang
bad,That movie was craptacular; I've never seen such bad acting and special effects.,final_slang_data_unique.csv,Literal,Literal
hard,"That quad was hitting so hard, I could feel it in my chest.",final_slang_data_unique.csv,Slang,Slang
broke,My Ford broke down again; it's such a piece of garbage.,final_slang_data_unique.csv,Literal,Literal
check,"Yo, check out my new benzie, it's a real head-turner.",final_slang_data_unique.csv,Slang,Slang
hot,"I felt some pre on my hand during foreplay, so I knew things were getting hot and heavy.",final_slang_data_unique.csv,Slang,Slang
cool,"That was jiggity, so cool!",final_slang_data_unique.csv,Slang,Slang
mad,That guitarist has mad skillz; he can shred like no other!,final_slang_data_unique.csv,Slang,Slang
check,"Yo, check out the package on that dude!",final_slang_data_unique.csv,Slang,Slang
lit,"After three shots, he was completely lit.",final_slang_data_unique.csv,Slang,Slang
game,"He's trying to be a mack, but he's got no game.",final_slang_data_unique.csv,Slang,Slang
cool,"I found this cool lamp on the curb, it's pure obtainium!",final_slang_data_unique.csv,Slang,Slang
tool,"He's such a tool box, always bragging about girls falling for him, but everyone knows they can't stand him.",final_slang_data_unique.csv,Slang,Slang
bag,"That ho-bag is so full of trash, it's overflowing.",final_slang_data_unique.csv,Slang,Slang
dank,"This weed is the dank, bro!",final_slang_data_unique.csv,Slang,Slang
bomb,That new album is da bomb!,final_slang_data_unique.csv,Slang,Slang
check,"Yo, check out these nuggs, they're straight fire!",final_slang_data_unique.csv,Slang,Slang
hit,"I was just trying to watch a video, but I accidentally clicked on something and got hit with a total porn storm.",final_slang_data_unique.csv,Slang,Slang
off,I'm just gonna mouse off for a bit before getting back to work.,final_slang_data_unique.csv,Slang,Slang
cheese,"After the holidays, I noticed I had a bit of cottage cheese on my thighs.",final_slang_data_unique.csv,Slang,Slang
cap,The urban turban these days is all about rocking a fresh stocking cap.,final_slang_data_unique.csv,Slang,Slang
hit,"After a blurry night out, I realized it was just a hit and run.",final_slang_data_unique.csv,Slang,Slang
man,She swallowed a mouthful of man chowder.,final_slang_data_unique.csv,Slang,"Sentence: ""He was feeling kinda blue"
cut,That motherfucker cut me off in traffic!,final_slang_data_unique.csv,Slang,Slang
bad,I need a yoohoo after this workout; that bad ass chocolate drink will be perfect.,final_slang_data_unique.csv,Slang,Slang
kick,His poor performance was a real kick in the pants for the whole team.,final_slang_data_unique.csv,Slang,Slang
fire,"After that spicy food, my leather cheerio was on fire!",final_slang_data_unique.csv,Slang,Slang
stick,The toilet's clogged again; grab the shit stick.,final_slang_data_unique.csv,Slang,Slang
off,That party last night was totally off the hook!,final_slang_data_unique.csv,Slang,Slang
beat,This party is a total beat; let's ditch it and find something fun.,final_slang_data_unique.csv,Slang,Slang
whip,He gave her a chili whip that she won't soon forget.,final_slang_data_unique.csv,Slang,Slang
man,"Howay man, are you alreet?",final_slang_data_unique.csv,Slang,Slang
off,He spends too much time beating off in his room.,final_slang_data_unique.csv,Slang,Slang
glow,"After just one beer, he got the telltale asian glow.",final_slang_data_unique.csv,Slang,Slang
head,He nearly caused a pile-up on the I-95 while getting road head during rush hour.,final_slang_data_unique.csv,Slang,Slang
head,He was definitely packing a jug head in those pants.,final_slang_data_unique.csv,Slang,Slang
head,Dude's got a five-head; he could land a plane on that thing.,final_slang_data_unique.csv,Slang,Slang
off,"His achievements are bragable, no wonder he's always showing off.",final_slang_data_unique.csv,Slang,Slang
off,He bummed smogs off everyone at the party.,final_slang_data_unique.csv,Slang,Slang
man,"I saw his car riding on some serious twankies, man those rims were gleaming.",final_slang_data_unique.csv,Slang,Slang
fire,"After that spicy burrito, my poo chute was on fire!",final_slang_data_unique.csv,Slang,Slang
tight,"That starfish is so tight, he probably hasn't taken a dump in days.",final_slang_data_unique.csv,Slang,Slang
flex,"Look at that guy trying to flex, he's got a total miniweiner!",final_slang_data_unique.csv,Slang,Slang
hard,"That band, floffus, is a total joke; they're trying way too hard to be New Found Glory.",final_slang_data_unique.csv,Literal,Literal
chill,I'm just gonna grab a Nati and chill.,final_slang_data_unique.csv,Slang,Slang
catch,"I'm exhausted, I need to catch some zzz's.",final_slang_data_unique.csv,Slang,Slang
bounce,"Atcha later, gotta bounce!",final_slang_data_unique.csv,Slang,Slang
chill,Let's blaze some tree spot and chill.,final_slang_data_unique.csv,Slang,Slang
check,"Yo, check out that dude, he's got total DK mode going on with that huge melon!",final_slang_data_unique.csv,Slang,Slang
mad,That froglona is hopping mad!,final_slang_data_unique.csv,Slang,Slang
man,"Man, I have a serious case of the pook after eating that gas station sushi.",final_slang_data_unique.csv,Slang,Slang
cool,"This marijuana is so cool, it's the coolest thing ever!",final_slang_data_unique.csv,Slang,Slang
bad,"After quitting smoking, he was jonesing for a cigarette so bad he could barely concentrate.",final_slang_data_unique.csv,Slang,Slang
cut,That dipshit just cut me off in traffic!,final_slang_data_unique.csv,Slang,Slang
cut,The dealer used creatine as a cut to increase his profits.,final_slang_data_unique.csv,Literal,Literal
burn,He said your shoes look like they came from a dumpster. Burn!,final_slang_data_unique.csv,Slang,Slang
man,"Man, they were really cuttin' last night; the walls were shaking!",final_slang_data_unique.csv,Slang,Slang
bomb,"Fo' shizzle my nizzle, that's the bomb!",final_slang_data_unique.csv,Slang,Slang
crack,That crack-smoker is driving on the wrong side of the road!,final_slang_data_unique.csv,Slang,Slang
lit,"My roommate is such a pothead, he's always got a joint lit.",final_slang_data_unique.csv,Slang,Slang
bag,"She's such an old bag, never offering help to anyone.",final_slang_data_unique.csv,Slang,Slang
off,"He's such a gloryhound, always showing off his coding skills to impress everyone.",final_slang_data_unique.csv,Literal,Literal
man,"Oh man, I just dropped a real brown snail in there; gonna need the brush for this one.",final_slang_data_unique.csv,Literal,Literal
hit,Let's hit up The Couve this weekend and grab some food.,final_slang_data_unique.csv,Slang,Slang
bag,"I couldn't believe he went through with it, even though she was a total double bag.",final_slang_data_unique.csv,Slang,Slang
hard,He's been hard up ever since his girlfriend moved away.,final_slang_data_unique.csv,Slang,Slang
hard,That girl is hard on the eyes!,final_slang_data_unique.csv,Slang,Slang
bad,I had a bad case of the assplosion after eating that dodgy taco.,final_slang_data_unique.csv,Slang,Slang
off,That sleazy car salesman tried to rip me off with a lemon.,final_slang_data_unique.csv,Slang,Slang
smoke,I only smoke reggie when I'm completely out of the good stuff.,final_slang_data_unique.csv,Slang,Slang
game,"I was so hyped for this game, but it turned out to be a ""Three Hour Game"" and now I just feel empty.",final_slang_data_unique.csv,Literal,Literal
off,"He finished her off with a danza slap, leaving her stunned and covered.",final_slang_data_unique.csv,Slang,Slang
dead,That car is bugly; I wouldn't be caught dead in it.,final_slang_data_unique.csv,Slang,Slang
hard,"His gamer tag was xX_69_n00b_Xx, like every other try-hard online.",final_slang_data_unique.csv,Slang,Slang
hot,I was pitchin' a tent in class because the teacher was hot.,final_slang_data_unique.csv,Slang,Slang
bread,He needed some bread to pay his rent.,final_slang_data_unique.csv,Slang,Slang
work,That cock sucker is a real piece of work.,final_slang_data_unique.csv,Slang,Slang
crack,I saw a serious plumbers crack when he was fixing my sink.,final_slang_data_unique.csv,Slang,Slang
sauce,"I'm going to a PETA meeting, should I bring the barbecue sauce?",final_slang_data_unique.csv,Slang,Slang
hit,"That new album is solid gold, every track is a hit!",final_slang_data_unique.csv,Slang,Slang
cut,That fuckstick cut me off in traffic this morning.,final_slang_data_unique.csv,Slang,Slang
hit,"He took a massive hit from his Zong, and coughed up a lung.",final_slang_data_unique.csv,Slang,Slang
crack,"Damn, she got that walnut ass, I swear you could crack nuts on it!",final_slang_data_unique.csv,Slang,Slang
hit,"Yo, he hit the nawz and took off like a rocket!",final_slang_data_unique.csv,Slang,Slang
tight,"Look at that muffin over there, her pants are way too tight.",final_slang_data_unique.csv,Slang,Slang
chill,Let's chill with the homeys tonight.,final_slang_data_unique.csv,Slang,Slang
long,"He was long sleevein it all day, not realizing his zipper was down.",final_slang_data_unique.csv,Slang,Slang
hot,"They were getting hot and heavy, and soon it turned into oral sex.",final_slang_data_unique.csv,Slang,Slang
trip,"After downing that whole bottle of cough syrup, he was completely lost in a robo-trip.",final_slang_data_unique.csv,Slang,Slang
tea,He tea bagged the poor guy after defeating him in the game.,final_slang_data_unique.csv,Slang,Slang
come,You want this job done right? Then come out'cha pockets!,final_slang_data_unique.csv,Slang,Slang
bet,You bet your ass I'm going to the party!,final_slang_data_unique.csv,Slang,Slang
broke,"This product is budget, it broke after only a week.",final_slang_data_unique.csv,Slang,Slang
off,"Back in the day, before the internet really took off, we used fidonet to swap messages between our BBS setups.",final_slang_data_unique.csv,Literal,Literal
cool,I'm really into wuxia these days; the stories of martial arts heroes fighting for justice are just so cool.,final_slang_data_unique.csv,Literal,Literal
sick,"My car's got fresh 20's, they look sick!",final_slang_data_unique.csv,Slang,Slang
drop,I saw him drop bows on 'em all night at the rave; he was really feeling the music.,final_slang_data_unique.csv,Slang,Slang
smoke,"Yo, let's go smoke some kill and chill.",final_slang_data_unique.csv,Slang,Slang
smoke,"The Corvette, with its insane torque, will smoke any import, even a Skyline, at the track.",final_slang_data_unique.csv,Slang,Slang
hit,"Yo, I'm gonna hit the NAWWWWZZZZZ! and leave you in the dust!",final_slang_data_unique.csv,Slang,Slang
off,"After the party, I accidentally fruitbasketed my roommates while trying to show off my flexibility.",final_slang_data_unique.csv,Slang,Slang
vibe,"Like, if you're all about that transcendental oversoul vibe, then nothing's really wrong, man, it's all just part of the big cosmic soup.",final_slang_data_unique.csv,Slang,Slang
ripped,He ripped a massive binger and coughed for a solid minute.,final_slang_data_unique.csv,Slang,Slang
stick,That fuck stick cut me off in traffic!,final_slang_data_unique.csv,Slang,Slang
jam,"Turntablism is my jam, DJs be scratchin' records into brand new beats!",final_slang_data_unique.csv,Slang,Slang
bomb,"I'm craving a Crunch bar right now, that chocolate and crispy rice combo is the bomb!",final_slang_data_unique.csv,Slang,Slang
broke,I used my feet to get some food when I was broke.,final_slang_data_unique.csv,Slang,Slang
catch,"Peace out, bro! Catch you later.",final_slang_data_unique.csv,Slang,Slang
man,"That party was total grain, man; the cops shut it down before anything even started.",final_slang_data_unique.csv,Slang,Slang
hit,Rets to hit the road?,final_slang_data_unique.csv,Slang,Slang
stick,"Jumpin' Jesus on a Pogo Stick, I can't believe he actually did that!",final_slang_data_unique.csv,Slang,Slang
sick,That new car is sick-nasty!,final_slang_data_unique.csv,Slang,Slang
head,That ugly bearded fuck head was stinking up the whole bathroom after taking a dump in the urinal.,final_slang_data_unique.csv,Slang,Slang
ride,"Yo, that ride's got a system that'll make your teeth rattle!",final_slang_data_unique.csv,Slang,Slang
hit,"Eouuaht, let's hit up that new burger spot!",final_slang_data_unique.csv,Slang,Slang
