slang_term,text,literal_meaning,slang_meaning,confidence,gpt_explanation,likes,date,link,owner_id,post_id,gpt_sense,classification,model_response
огонь,"Дубленка, эко-кожа
Размеры 42-44-46-48
Новый коллекция 2025
Фабричный Китай 
Шикарный качества 
Качество огонь 
S. M. L
Цена штучно: 1700руб",fire (flames),awesome/amazing/great,HIGH,"«Бомба» используется для выражения высокой оценки, отличного качества, не в буквальном смысле.",0,2025-10-19,https://vk.com/wall-218146802_137294,-218146802,137294,slang,Yes,Yes
огонь,"Такие, как Red Lady, зажгут твой огонь внутри!🔥🔥🔥

Артикул OZON - 2641509215
Ссылка - https://ozon.ru/t/IFHHfmx",fire (flames),awesome/amazing/great,HIGH,"«Огонь» здесь используется в значении «отличный», «превосходный», то есть положительная оценка качества.",0,2025-10-19,https://vk.com/wall43632392_5957,43632392,5957,slang,Yes,Yes
огонь,"Дубленка, эко-кожа
Размеры 42-44-46-48
В наличии трендовый Бомбер 
Фабричный Китай качество огонь 
S. M. L

Цена штучно: 3500руб
Цена оптом: 3400руб (упак. 4шт=13600руб)",fire (flames),awesome/amazing/great,HIGH,"«Пушка» в данном контексте сленг, означающий «очень крутая вещь» или «потрясающий предмет». Не имеет отношения к огнестрельному оружию.",0,2025-10-19,https://vk.com/wall452930446_183862,452930446,183862,slang,Yes,Yes
огонь,"Доброй ночи, дорогие 💔 
 
Лимонад «drama queen» из серфа просто огонь! Если найдете у себя - берите два!",fire (flames),awesome/amazing/great,HIGH,"«Жесть» здесь означает «шок, удивление, что-то невероятное или очень плохое», а не буквальный металл.",0,2025-10-19,https://vk.com/wall-219173497_488,-219173497,488,slang,Yes,Yes
огонь,"Цена штучно: 400руб
Кофта, ткань
Размеры 42-44-46
без выбора цвета
Кофточка 
изумительный кофточка
Цена 400?
качество огонь
размеры: 42/44/46
ткань ангора кофта 
размер в размер идут
модель и жвое фото",fire (flames),awesome/amazing/great,HIGH,"«Жар» в данном контексте используется как метафора эмоционального состояния, противопоставление с «лед», не буквальная жара от температуры.",0,2025-10-19,https://vk.com/wall541041195_126593,541041195,126593,slang,Yes,Yes
огонь,"Куртка, шерсть
Размеры 42-44-46-48-50-52
в размер
Сезон зима
Доп. опция капюшон
Подкладка с подкладкой
Новинка 
Куртка Женские Зимние 
Качество Огонь 
Китай фабричный 
Рабочие карманы 
Рабочие Шнуровки
Размер: M(42-44), L(44-46), XL(46-48), 2XL(48-50), 3XL(50-52)
Цена штучно: 1200руб
Цена оптом: 1100руб (упак. 5шт=5500руб)",fire (flames),awesome/amazing/great,HIGH,"«Треш» используется в значении «что-то шокирующее, ужасающие, ненормальное», а не буквально.",0,2025-10-19,https://vk.com/wall-212402968_210194,-212402968,210194,slang,Yes,Yes
огонь,"Цена штучно: 800руб
Тюль, текстиль
УРАА СНОВА В НАЛИЧИИ
ПОТРЯСАЮЩИЙ МОДЕЛЬ 
ТЮЛЬ ЛИОН,С РИСУНОКОМ КОФЕ 
КАЧЕСТВО СУПЕР ОГОНЬ 
ГОТОВЫЙ ВАРИАНТ 
НА ШТОРНЫЙ ЛЕНТЕ 
РАЗМЕР 3-2,75. ЦЕНА 800р
РАЗМЕР 4-2,75. ЦЕНА 1050р
РАЗМЕР 5-2,75. ЦЕНА 1250р
Тел 8-996-672-50-76 ВОТСАП",fire (flames),awesome/amazing/great,HIGH,"«Огонь» значит «великолепный, отменный» — положительная оценка, не связанная с буквальным огнём.",0,2025-10-19,https://vk.com/wall593761179_26143,593761179,26143,slang,Yes,Yes
огонь,"Дубленка, замш
Размеры 42-44-46-48
В наличии шикарные дубленка 
Фабричный Китай качество огонь
Цена штучно: 2900руб
Цена оптом: 2800руб (упак. 4шт=11200руб)",fire (flames),awesome/amazing/great,HIGH,"«Пушка» используется в значении «очень крутой, классный» — положительная оценка качества.",0,2025-10-19,https://vk.com/wall-222974190_8710,-222974190,8710,slang,Yes,Yes
огонь,"🖤❄️New Premium Collection 
🖤❄️Цена 750
🖤❄️Размер 36/37/38/39/40/41
🖤❄️Коробка в коробке ‘6 пар’
🖤❄️Качество огонь 🔥 
‼️‼️НАТУРАЛЬНЫЙ ШЕРСТЬ‼️‼️
✅‼️ ЕВРО ЗИМА❄️🥶‼️✅",fire (flames),awesome/amazing/great,HIGH,"«Бомба» используется в значении «очень крутой, отличный», что является сленговым выражением.",0,2025-10-19,https://vk.com/wall451361615_89201,451361615,89201,slang,Yes,Yes
огонь,"В Google Play появилась крутая замена официальному клиенту ВК – приложение Контакт! Очень удобное, с классными стикерами, офлайн режимом, чатами и другим! Программа – огонь! 🔥🔥🔥 Качайте тут: https://play.google.com/store/apps/details?id=com.arpaplus.kontakt, не пожалеете!😍😍😍 #контакт #вк #невидимка #офлайн #android #вконтакте",fire (flames),awesome/amazing/great,HIGH,"«Ад» используется в значении хаоса, сложности или неприятной ситуации, не в буквальном значении места наказания.",0,2025-10-19,https://vk.com/wall1078761013_1,1078761013,1,slang,Yes,Yes
